Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Gls_Per_Match,Ast_Per_Match
306,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24.0,1999.0,24,23,2084,23.2,0,0,0,0,0,0,4,0,1.9,1.9,0.2,2.1,5.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,0.0,0.0
308,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27.0,1996.0,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22.0,53.0,63.0,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,0.06896551724137931,0.06896551724137931
309,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30.0,1992.0,29,27,2356,26.2,2,5,7,2,0,1,8,0,1.6,0.8,3.6,4.4,55.0,129.0,109.0,0.08,0.19,0.27,0.08,0.27,0.06,0.14,0.2,0.03,0.17,0.06896551724137931,0.1724137931034483
311,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24.0,1999.0,35,22,2013,22.4,0,2,2,0,0,0,7,0,1.1,1.1,2.9,4.0,63.0,70.0,122.0,0.0,0.09,0.09,0.0,0.09,0.05,0.13,0.18,0.05,0.18,0.0,0.05714285714285714
313,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,26.0,1996.0,28,26,2068,23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43.0,169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,0.0,0.0
314,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,29.0,1993.0,29,19,1578,17.5,1,2,3,1,0,0,9,0,2.2,2.2,2.9,5.2,61.0,85.0,74.0,0.06,0.11,0.17,0.06,0.17,0.13,0.17,0.3,0.13,0.3,0.034482758620689655,0.06896551724137931
315,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32.0,1991.0,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Antonio Blanco,es ESP,MF,Alavés,es La Liga,23.0,2000.0,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.8,0.8,1.2,2.1,20.0,133.0,22.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,0.0,0.030303030303030304
319,Ludovic Blas,fr FRA,"FW,MF",Rennes,fr Ligue 1,25.0,1997.0,29,18,1563,17.4,4,1,5,3,1,2,3,0,4.7,3.1,1.7,4.8,46.0,59.0,157.0,0.23,0.06,0.29,0.17,0.23,0.27,0.1,0.37,0.18,0.27,0.13793103448275862,0.034482758620689655
320,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32.0,1991.0,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Alexis Blin,fr FRA,MF,Lecce,it Serie A,26.0,1996.0,31,16,1642,18.2,0,2,2,0,0,0,4,0,1.1,1.1,0.7,1.8,7.0,60.0,11.0,0.0,0.11,0.11,0.0,0.11,0.06,0.04,0.1,0.06,0.1,0.0,0.06451612903225806
322,Daley Blind,nl NED,DF,Girona,es La Liga,33.0,1990.0,34,33,2972,33.0,1,2,3,1,0,0,6,0,1.7,1.7,1.1,2.8,48.0,209.0,22.0,0.03,0.06,0.09,0.03,0.09,0.05,0.03,0.09,0.05,0.09,0.029411764705882353,0.058823529411764705
328,Jeremie Boga,ci CIV,FW,Nice,fr Ligue 1,26.0,1997.0,28,24,1998,22.2,6,6,12,6,0,0,1,0,4.3,4.3,4.2,8.5,107.0,64.0,170.0,0.27,0.27,0.54,0.27,0.54,0.19,0.19,0.38,0.19,0.38,0.21428571428571427,0.21428571428571427
329,Jayden Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,23.0,2000.0,34,32,2788,31.0,3,0,3,3,0,0,9,0,2.3,2.3,1.0,3.3,38.0,60.0,92.0,0.1,0.0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,0.08823529411764706,0.0
331,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,24.0,1999.0,12,7,535,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,0.0,0.0
