Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Gls_Per_Match,Ast_Per_Match
555,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,31.0,1991.0,22,22,1832,20.4,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,23.0,67.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,0.0,0.0
556,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22.0,2001.0,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11.0,97.0,18.0,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,0.03125,0.03125
558,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21.0,2002.0,25,16,1359,15.1,4,1,5,4,0,0,3,0,3.6,3.6,0.6,4.2,16.0,24.0,75.0,0.26,0.07,0.33,0.26,0.33,0.24,0.04,0.28,0.24,0.28,0.16,0.04
559,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24.0,1999.0,38,36,2657,29.5,8,4,12,8,0,0,1,0,4.8,4.8,5.0,9.8,90.0,120.0,193.0,0.27,0.14,0.41,0.27,0.41,0.16,0.17,0.33,0.16,0.33,0.21052631578947367,0.10526315789473684
560,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20.0,2003.0,23,20,1797,20.0,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,23.0,73.0,27.0,0.05,0.05,0.1,0.05,0.1,0.06,0.06,0.12,0.06,0.12,0.043478260869565216,0.043478260869565216
561,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27.0,1996.0,17,15,1113,12.4,3,3,6,3,0,0,1,0,2.8,2.8,3.8,6.6,75.0,72.0,210.0,0.24,0.24,0.49,0.24,0.49,0.22,0.31,0.53,0.22,0.53,0.17647058823529413,0.17647058823529413
562,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,25.0,1998.0,25,23,1995,22.2,2,0,2,2,0,0,5,0,0.7,0.7,0.2,0.8,7.0,57.0,3.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.04,0.03,0.04,0.08,0.0
563,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,26.0,1996.0,27,20,1653,18.4,2,0,2,2,0,0,8,2,1.9,1.9,2.0,3.8,23.0,92.0,48.0,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.21,0.1,0.21,0.07407407407407407,0.0
566,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36.0,1987.0,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26.0,1997.0,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22.0,142.0,15.0,0.0,0.1,0.1,0.0,0.1,0.01,0.14,0.15,0.01,0.15,0.0,0.09090909090909091
570,Copete,es ESP,DF,Mallorca,es La Liga,23.0,1999.0,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.5,0.5,0.8,1.3,3.0,52.0,2.0,0.07,0.07,0.14,0.07,0.14,0.04,0.05,0.09,0.04,0.09,0.05263157894736842,0.05263157894736842
571,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19.0,2003.0,24,18,1634,18.2,2,0,2,2,0,0,9,0,1.2,1.2,0.2,1.4,1.0,40.0,0.0,0.11,0.0,0.11,0.11,0.11,0.07,0.01,0.08,0.07,0.08,0.08333333333333333,0.0
572,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,32.0,1991.0,17,10,910,10.1,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,5.0,47.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.0,0.0
580,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28.0,1995.0,32,14,1528,17.0,9,2,11,8,1,1,3,0,7.9,7.1,3.6,10.8,40.0,61.0,128.0,0.53,0.12,0.65,0.47,0.59,0.47,0.21,0.68,0.42,0.63,0.28125,0.0625
582,Thierry Correia,pt POR,DF,Valencia,es La Liga,24.0,1999.0,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.6,0.6,2.1,2.7,40.0,80.0,56.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.11,0.03,0.11,0.0,0.06451612903225806
584,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,30.0,1993.0,19,9,830,9.2,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.5,22.0,40.0,53.0,0.0,0.11,0.11,0.0,0.11,0.03,0.13,0.16,0.03,0.16,0.0,0.05263157894736842
585,David Pereira da Costa,pt POR,MF,Lens,fr Ligue 1,22.0,2001.0,25,17,1494,16.6,4,2,6,4,0,0,3,0,3.0,3.0,3.5,6.5,53.0,73.0,101.0,0.24,0.12,0.36,0.24,0.36,0.18,0.21,0.39,0.18,0.39,0.16,0.08
586,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35.0,1988.0,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.3,0.3,1.2,1.5,34.0,50.0,104.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08,0.0,0.03333333333333333
588,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22.0,2001.0,31,29,2650,29.4,1,1,2,1,0,0,6,0,1.4,1.4,0.6,2.0,19.0,145.0,14.0,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,0.03225806451612903,0.03225806451612903
589,Samu Costa,pt POR,MF,Mallorca,es La Liga,22.0,2000.0,34,26,2303,25.6,1,1,2,1,0,0,8,0,1.1,1.1,0.5,1.6,16.0,93.0,32.0,0.04,0.04,0.08,0.04,0.08,0.04,0.02,0.06,0.04,0.06,0.029411764705882353,0.029411764705882353
590,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36.0,1987.0,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30.0,1992.0,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,68.0,119.0,126.0,0.0,0.2,0.2,0.0,0.2,0.01,0.11,0.12,0.01,0.12,0.0,0.19444444444444445
593,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,27.0,1996.0,28,25,2082,23.1,0,1,1,0,0,0,5,0,0.6,0.6,0.8,1.4,29.0,88.0,38.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.06,0.03,0.06,0.0,0.03571428571428571
596,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,22.0,2001.0,16,7,623,6.9,1,0,1,1,0,0,2,0,2.6,2.6,0.8,3.3,27.0,13.0,48.0,0.14,0.0,0.14,0.14,0.14,0.37,0.11,0.48,0.37,0.48,0.0625,0.0
599,Yan Couto,br BRA,"DF,FW",Girona,es La Liga,21.0,2002.0,34,24,2245,24.9,1,8,9,1,0,0,8,0,1.5,1.5,4.2,5.7,151.0,97.0,240.0,0.04,0.32,0.36,0.04,0.36,0.06,0.17,0.23,0.06,0.23,0.029411764705882353,0.23529411764705882
600,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,24.0,1999.0,13,10,895,9.9,0,0,0,0,0,0,2,0,0.7,0.7,0.6,1.2,11.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,0.0,0.0
603,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,26.0,1996.0,15,4,527,5.9,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.1,13.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.2,0.02,0.2,0.0,0.0
605,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,28.0,1995.0,37,37,3289,36.5,3,4,7,3,0,0,8,0,4.0,4.0,2.9,6.9,47.0,234.0,80.0,0.08,0.11,0.19,0.08,0.19,0.11,0.08,0.19,0.11,0.19,0.08108108108108109,0.10810810810810811
607,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31.0,1992.0,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,16.0,77.0,29.0,0.0,0.05,0.05,0.0,0.05,0.0,0.02,0.02,0.0,0.02,0.0,0.038461538461538464
611,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,16.0,2007.0,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.0,0.0
612,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,25.0,1998.0,21,20,1782,19.8,0,2,2,0,0,0,10,0,1.1,1.1,1.1,2.2,31.0,50.0,73.0,0.0,0.1,0.1,0.0,0.1,0.06,0.05,0.11,0.06,0.11,0.0,0.09523809523809523
614,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23.0,1999.0,29,21,1963,21.8,3,1,4,3,0,0,7,0,1.2,1.2,0.2,1.5,11.0,78.0,30.0,0.14,0.05,0.18,0.14,0.18,0.06,0.01,0.07,0.06,0.07,0.10344827586206896,0.034482758620689655
615,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,27.0,1996.0,25,23,2057,22.9,2,3,5,2,0,0,9,0,0.6,0.6,1.8,2.4,22.0,123.0,22.0,0.09,0.13,0.22,0.09,0.22,0.03,0.08,0.11,0.03,0.11,0.08,0.12
616,Matheus Cunha,br BRA,"FW,MF",Wolves,eng Premier League,24.0,1999.0,32,29,2440,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107.0,87.0,139.0,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44,0.375,0.21875
617,Marvin Cuni,al ALB,FW,Frosinone,it Serie A,22.0,2001.0,22,6,534,5.9,1,0,1,1,0,0,0,0,1.3,1.3,0.3,1.6,6.0,11.0,45.0,0.17,0.0,0.17,0.17,0.17,0.22,0.05,0.28,0.22,0.28,0.045454545454545456,0.0
620,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,22.0,2000.0,21,7,896,10.0,4,1,5,3,1,2,4,0,5.9,4.3,0.7,5.0,12.0,13.0,47.0,0.4,0.1,0.5,0.3,0.4,0.59,0.07,0.66,0.43,0.51,0.19047619047619047,0.047619047619047616
621,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,34.0,1988.0,24,16,1536,17.1,0,0,0,0,0,0,5,1,0.7,0.7,0.2,0.8,12.0,61.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,0.0,0.0
624,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25.0,1998.0,31,31,2790,31.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,27.0,1996.0,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4.0,11.0,6.0,0.0,0.2,0.2,0.0,0.2,0.04,0.18,0.22,0.04,0.22,0.0,0.1111111111111111
627,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,21.0,2002.0,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7.0,35.0,9.0,0.09,0.0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,0.07692307692307693,0.0
628,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22.0,2000.0,33,28,2510,27.9,14,2,16,13,1,3,6,0,14.1,11.8,1.2,13.0,32.0,38.0,164.0,0.5,0.07,0.57,0.47,0.54,0.51,0.04,0.55,0.42,0.47,0.42424242424242425,0.06060606060606061
629,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24.0,1999.0,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,52.0,124.0,111.0,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.13,0.05,0.13,0.05555555555555555,0.08333333333333333
630,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,23.0,2000.0,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16.0,61.0,32.0,0.0,0.21,0.21,0.0,0.21,0.1,0.16,0.25,0.1,0.25,0.0,0.08695652173913043
631,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,22.0,2001.0,14,8,744,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,8.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,0.0,0.0
632,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,22.0,2001.0,29,20,1792,19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,22.0,83.0,28.0,0.1,0.1,0.2,0.1,0.2,0.09,0.08,0.17,0.09,0.17,0.06896551724137931,0.06896551724137931
633,Danilo,br BRA,DF,Juventus,it Serie A,32.0,1991.0,29,27,2452,27.2,1,1,2,1,0,0,7,0,1.3,1.3,0.9,2.2,18.0,161.0,21.0,0.04,0.04,0.07,0.04,0.07,0.05,0.03,0.08,0.05,0.08,0.034482758620689655,0.034482758620689655
634,Arnaut Danjuma,nl NED,"MF,FW",Everton,eng Premier League,26.0,1997.0,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24.0,9.0,44.0,0.15,0.0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,0.07142857142857142,0.0
636,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24.0,1998.0,30,30,2655,29.5,1,0,1,1,0,0,6,0,1.8,1.8,0.4,2.2,27.0,133.0,3.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,0.03333333333333333,0.0
637,Dante,br BRA,DF,Nice,fr Ligue 1,39.0,1983.0,32,32,2843,31.6,1,1,2,1,0,0,5,1,0.9,0.9,1.0,2.0,13.0,185.0,6.0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.06,0.03,0.06,0.03125,0.03125
639,Mohammed Daramy,dk DEN,"FW,MF",Reims,fr Ligue 1,21.0,2002.0,25,19,1648,18.3,4,5,9,3,1,1,0,0,4.6,3.8,2.4,6.2,72.0,69.0,162.0,0.22,0.27,0.49,0.16,0.44,0.25,0.13,0.38,0.21,0.34,0.16,0.2
640,Sergi Darder,es ESP,MF,Mallorca,es La Liga,29.0,1993.0,36,21,2157,24.0,2,5,7,2,0,0,4,0,2.2,2.2,6.4,8.6,56.0,132.0,75.0,0.08,0.21,0.29,0.08,0.29,0.09,0.27,0.36,0.09,0.36,0.05555555555555555,0.1388888888888889
642,Matteo Darmian,it ITA,DF,Inter,it Serie A,33.0,1989.0,33,27,2404,26.7,2,1,3,2,0,0,2,0,1.2,1.2,1.8,3.0,18.0,72.0,82.0,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.11,0.04,0.11,0.06060606060606061,0.030303030303030304
643,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,24.0,1998.0,20,3,536,6.0,1,1,2,1,0,0,2,0,2.3,2.3,1.0,3.3,11.0,17.0,37.0,0.17,0.17,0.34,0.17,0.34,0.39,0.16,0.55,0.39,0.55,0.05,0.05
645,David Datro Fofana,ci CIV,FW,Burnley,eng Premier League,20.0,2002.0,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,21.0,15.0,39.0,0.41,0.1,0.51,0.41,0.51,0.46,0.19,0.65,0.46,0.65,0.26666666666666666,0.06666666666666667
646,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,20.0,2002.0,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20.0,14.0,66.0,0.13,0.0,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41,0.08333333333333333,0.0
647,Juan David Cabal,co COL,DF,Hellas Verona,it Serie A,22.0,2001.0,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,26.0,70.0,48.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,0.0,0.0
648,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23.0,2000.0,34,30,2629,29.2,19,4,23,17,2,3,4,0,17.5,15.0,3.3,18.3,47.0,79.0,198.0,0.65,0.14,0.79,0.58,0.72,0.6,0.11,0.71,0.51,0.63,0.5588235294117647,0.11764705882352941
649,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22.0,2000.0,29,24,2065,22.9,2,5,7,2,0,0,0,0,1.0,1.0,2.9,3.8,121.0,117.0,139.0,0.09,0.22,0.31,0.09,0.31,0.04,0.12,0.17,0.04,0.17,0.06896551724137931,0.1724137931034483
650,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,30.0,1993.0,17,12,1090,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13.0,71.0,20.0,0.08,0.0,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23,0.058823529411764705,0.0
653,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,28.0,1995.0,28,25,2143,23.8,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.6,11.0,89.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0
654,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,33.0,1990.0,25,25,2209,24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,1.0,49.0,4.0,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,0.04,0.04
655,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,32.0,1991.0,18,15,1221,13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14.0,47.0,111.0,133.0,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,0.2222222222222222,0.5555555555555556
656,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,it Serie A,22.0,2001.0,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88.0,126.0,219.0,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55,0.2857142857142857,0.22857142857142856
657,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,29.0,1994.0,34,25,2075,23.1,3,5,8,3,0,0,7,0,1.8,1.8,5.0,6.8,73.0,202.0,55.0,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.3,0.08,0.3,0.08823529411764706,0.14705882352941177
659,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,35.0,1988.0,15,7,674,7.5,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,14.0,27.0,12.0,0.27,0.0,0.27,0.27,0.27,0.03,0.0,0.03,0.03,0.03,0.13333333333333333,0.0
660,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,25.0,1998.0,27,22,1831,20.3,0,0,0,0,0,0,7,1,0.3,0.3,0.8,1.1,23.0,104.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,0.0,0.0
661,Koni De Winter,be BEL,DF,Genoa,it Serie A,21.0,2002.0,29,26,2380,26.4,0,1,1,0,0,0,8,1,0.8,0.8,1.0,1.8,21.0,76.0,15.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.07,0.03,0.07,0.0,0.034482758620689655
662,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,32.0,1991.0,20,7,757,8.4,1,2,3,1,0,0,0,0,1.0,1.0,1.2,2.2,7.0,17.0,42.0,0.12,0.24,0.36,0.12,0.36,0.12,0.14,0.26,0.12,0.26,0.05,0.1
663,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,27.0,1995.0,27,19,1608,17.9,1,0,1,1,0,0,7,0,2.5,2.5,0.9,3.4,9.0,64.0,21.0,0.06,0.0,0.06,0.06,0.06,0.14,0.05,0.19,0.14,0.19,0.037037037037037035,0.0
664,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,27.0,1996.0,33,30,2497,27.7,8,8,16,5,3,3,4,0,5.2,2.9,9.9,12.8,101.0,155.0,287.0,0.29,0.29,0.58,0.18,0.47,0.19,0.36,0.55,0.1,0.46,0.24242424242424243,0.24242424242424243
665,Thomas Delaine,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,31.0,1992.0,27,24,2044,22.7,1,1,2,1,0,0,5,0,1.7,1.7,3.6,5.3,63.0,52.0,151.0,0.04,0.04,0.09,0.04,0.09,0.07,0.16,0.23,0.07,0.23,0.037037037037037035,0.037037037037037035
667,Hannes Delcroix,be BEL,DF,Burnley,eng Premier League,24.0,1999.0,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.09,0.05,0.09,0.0,0.0
669,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,23.0,2000.0,29,14,1365,15.2,2,1,3,2,0,0,5,0,1.1,1.1,0.9,2.0,26.0,40.0,53.0,0.13,0.07,0.2,0.13,0.2,0.07,0.06,0.13,0.07,0.13,0.06896551724137931,0.034482758620689655
671,Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,26.0,1997.0,26,17,1506,16.7,3,8,11,3,0,0,0,0,4.4,4.4,6.7,11.1,160.0,133.0,247.0,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67,0.11538461538461539,0.3076923076923077
672,Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25.0,1998.0,18,9,690,7.7,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,7.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,0.0,0.0
673,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,de Bundesliga,25.0,1998.0,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28.0,60.0,167.0,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45,0.45454545454545453,0.2727272727272727
675,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,21.0,2001.0,33,31,2839,31.5,3,0,3,3,0,0,9,0,2.7,2.7,0.3,3.0,7.0,95.0,6.0,0.1,0.0,0.1,0.1,0.1,0.08,0.01,0.09,0.08,0.09,0.09090909090909091,0.0
678,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27.0,1996.0,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28.0,1995.0,24,19,1544,17.2,0,1,1,0,0,0,2,0,1.1,1.0,0.7,1.7,30.0,81.0,96.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.1,0.06,0.1,0.0,0.041666666666666664
680,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29.0,1994.0,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0
685,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26.0,1997.0,33,33,2872,31.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29.0,1993.0,36,36,3234,35.9,1,6,7,1,0,0,6,0,3.1,3.1,4.9,8.0,95.0,304.0,250.0,0.03,0.17,0.19,0.03,0.19,0.09,0.14,0.22,0.09,0.22,0.027777777777777776,0.16666666666666666
688,Boulaye Dia,sn SEN,"FW,MF",Salernitana,it Serie A,26.0,1996.0,17,12,1143,12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18.0,22.0,57.0,0.31,0.0,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,0.23529411764705882,0.0
689,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,eng Premier League,24.0,1999.0,38,25,2174,24.2,6,8,14,6,0,0,1,0,7.0,7.0,6.6,13.6,94.0,72.0,183.0,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,0.15789473684210525,0.21052631578947367
691,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,es La Liga,26.0,1996.0,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.7,0.7,0.0,0.8,7.0,29.0,1.0,0.08,0.0,0.08,0.08,0.08,0.06,0.0,0.06,0.06,0.06,0.07142857142857142,0.0
693,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22.0,2001.0,21,19,1696,18.8,5,2,7,5,0,0,4,0,2.0,2.0,1.4,3.5,15.0,95.0,16.0,0.27,0.11,0.37,0.27,0.37,0.11,0.08,0.19,0.11,0.19,0.23809523809523808,0.09523809523809523
696,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,19.0,2003.0,28,18,1585,17.6,5,1,6,5,0,1,4,0,7.0,6.2,1.3,7.5,29.0,28.0,107.0,0.28,0.06,0.34,0.28,0.34,0.4,0.07,0.47,0.35,0.43,0.17857142857142858,0.03571428571428571
699,Assane Diao,es ESP,FW,Betis,es La Liga,17.0,2005.0,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33.0,20.0,101.0,0.17,0.0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,0.1111111111111111,0.0
700,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,19.0,2004.0,31,28,2305,25.6,3,1,4,2,1,1,3,0,3.4,2.7,1.3,3.9,59.0,107.0,88.0,0.12,0.04,0.16,0.08,0.12,0.13,0.05,0.18,0.1,0.15,0.0967741935483871,0.03225806451612903
701,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22.0,2000.0,22,15,1397,15.5,1,2,3,1,0,0,5,0,0.5,0.5,1.1,1.6,18.0,70.0,12.0,0.06,0.13,0.19,0.06,0.19,0.03,0.07,0.1,0.03,0.1,0.045454545454545456,0.09090909090909091
702,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26.0,1997.0,30,28,2559,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34.0,173.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,0.0,0.0
